verse_key,translation
2:36,setan daya surga keluar nikmat surga firman turun musuh tinggal senang bumi tentu
2:37,adam terima kalimat tuhan terima tobat sungguh allah maha terima tobat maha sayang
2:38,firman turun surga kepada barangsiapa ikut takut sedih hati
2:39,kafir dusta huni neraka kekal dalam
2:40,bani israil ingat kepada penuh janji niscaya penuh kepada takut
2:41,rim turun benar taurat orang kafir jual harga murah takwa
2:42,campuradukkan benar batil sembunyi benar tahu
2:43,laksana salat tunai zakat rukuk serta orang rukuk
2:44,suruh orang kebaji lupa diri baca kitab taurat erti
2:45,mohon tolong allah sabar salat salat sungguh berat kecuali khusyuk
2:46,temu tuhan
2:47,bani israil ingat kepada lebih umat alam
2:48,takut bela orang syafaat tebus dari terima tolong
2:49,ingat selamat fir aun fir aun timpa siksa berat kepada sembelih biar hidup perempuan coba tuhan
2:50,ingat belah laut untuk selamat tenggelam fir aun fir aun saksi
2:51,ingat janji musa puluh malam bani israil jadi patung anak sapi sembah pergi nya orang zalim
2:52,maaf syukur
2:53,ingat musa kitab furqan oleh tunjuk
2:54,ingat musa kaum kaum zalim diri jadi patung anak sapi sembah tobat cipta bunuh diri bagi sisi cipta terima tobat sungguh maha terima tobat maha sayang
2:55,ingat musa iman kepada allah halilintar sambar saksi
2:56,bangkit mati syukur
2:57,taung awan turun kepada mann salwa makan makan rezeki kepada zalim zalim
2:58,ingat firman masuk negeri baitulmaqdis makan nikmat makan suka masuk pintu gerbang bungkuk bebas niscaya ampun tambah karunia buat baik
2:59,zalim ganti perintah perintah perintah turun malapetaka langit zalim buat fasik
2:60,ingat musa mohon air kaum firman pukul batu tongkat pancar daripada belas mata air suku minum makan minum rezeki allah jahat bumi buat rusa
2:61,ingat musa tahan makan makan mohon tuhan tumbuh bumi mentimun bawang putih kacang adas bawang musa buruk ganti pergi kota oleh timpa nista miskin murka allah ingkar allah bunuh nabi hak alas durhaka lampau batas
2:62,sungguh iman yahudi nasrani iman allah kebaji pahala tuhan takut sedih hati
2:63,ingat ambil janji angkat gunung sai atas seraya firman pegang teguh kepada ingat dalam takwa
2:64,paling karunia allah kepada orang rugi
2:65,sungguh langgar sabat kera hina
2:66,jadi ingat ajar takwa
2:67,ingat musa kaum allah perintah sembelih ekor sapi engkau jadi ejek musa lindung allah bodoh
2:68,mohon tuhan sapi betina musa allah firman sapi betina tua muda tengah kerja perintah kepada
2:69,mohon tuhan musa allah firman sapi sapi betina kuning tua warna senang pandang nya
2:70,mohon tuhan sapi betina sungguh sapi allah niscaya tunjuk
2:71,musa allah firman sapi sapi betina pakai bajak tanah air tanam sehat baru engkau terang sembelih laksana perintah
2:72,ingat bunuh allah singkap sembunyi
2:73,firman pukul mayat sapi allah hidup orang mati kepada erti
2:74,hati keras hati batu keras air pancar daripada belah keluar mata air daripada luncur jatuh takut allah allah lengah kerja
2:75,muslimin harap percaya kepada golong dengar firman allah ubah paham tahu
2:76,jumpa iman sama cerita terang allah kepada sanggah hadap tuhan erti
2:77,allah sembunyi nyata
2:78,buta huruf paham kitab taurat kecuali
2:79,celaka tulis kitab tangan allah maksud jual harga murah celaka tulis tangan celaka buat
2:80,neraka sentuh kecuali terima janji allah allah ingkar allah tahu
2:81,barangsiapa buat keburu dosa tenggelam huni neraka kekal dalam
2:82,iman kebaji huni surga kekal dalam
2:83,ingat ambil janji bani israil sembah allah orang tua kerabat yatim miskin bertuturkatalah manusia laksana salat tunai paling ingkar kecuali bangkang
2:84,ingat ambil janji tumpah darah bunuh orang usir diri saudara bangsa kampung ikrar saksi
2:85,bani israil bunuh diri sama usir golong kampung halaman bantu hadap jahat musuh kepada tawan tebus larang usir iman kitab taurat ingkar balas orang buat nista hidup dunia kiamat kembali azab berat allah lengah kerja
2:86,beli hidup dunia hidup akhirat ringan azab tolong
2:87,sungguh kitab taurat musa susul telah isa putra maryam benar kuat rohulkudus jibril rasul kepada bawa ajar sombong dusta bunuh
2:88,hati allah laknat ingkar iman
2:89,kitab allah benar mohon menang kafir tahu ingkar laknat allah ingkar
2:90,buruk buat jual ingkar turun allah dengki allah turun hendak tanggung murka murka kafir timpa azab hina
2:91,rim turun allah iman turun ingkar telah hak benar muhammad bunuh allah iman
2:92,sungguh musa kepada benar ambil patung anak sapi sembah pergi nya zalim
2:93,ingat ambil janji angkat gunung sai atas seraya firman pegang teguh kepada dengar dengar resap hati cinta sembah patung anak sapi kafir buruk perintah percaya kepada iman
2:94,muhammad negeri akhirat sisi allah khusus untuk orang minta mati orang
2:95,mati allah maha zalim
2:96,sungguh engkau muhammad dapat yahudi manusia tamak hidup dunia tamak musyrik umur ribu umur jauh azab allah maha kerja
2:97,muhammad barangsiapa musuh jibril tahu turun hati izin allah benar tunjuk berita gembira iman
2:98,barangsiapa musuh allah jibril mikail sungguh allah musuh kafir
2:99,sungguh turun kepada muhammad ingkar fasik
2:100,kali ikat janji kelompok langgar iman
2:101,rasul muhammad allah benar kitab taurat lempar kitab allah punggung
2:102,ikut baca raja sulaiman sulaiman kafir kafir ajar sihir manusia turun malaikat negeri babilonia harut marut ajar sungguh coba bagi ajar malaikat pisah suami istri celaka sihir kecuali izin allah ajar celaka manfaat sungguh barangsiapa beli sihir niscaya untung akhirat sungguh buruk buat jual sihir
2:103,iman takwa pahala allah
2:104,iman unzhurnaa dengar kafir azab pedih
2:105,kafir ahli kitab musyrik turun kepada baik tuhan khusus allah orang hendak allah milik karunia
2:106,ayat batal hilang ingat ganti banding dengan allah mahakuasa
2:107,allah milik raja langit bumi bagi lindung tolong allah
2:108,rasul muhammad hal musa bani israil barangsiapa ganti iman kafir sungguh sesat jalan lurus
2:109,ahli kitab kembali iman kafir dengki benar maaf berlapangdadalah allah sungguh allah mahakuasa
2:110,laksana salat tunai zakat baik kerja diri dapat pahala sisi allah sungguh allah maha kerja
2:111,yahudi nasrani masuk surga kecuali orang yahudi tunjuk bukti benar orang
2:112,barangsiapa serah sepenuh allah buat pahala sisi tuhan takut sedih hati
2:113,orang yahudi orang nasrani milik pegang nasrani yahudi milik pegang baca kitab beril ucap allah adil kiamat selisih
2:114,zalim orang larang allah sebut usaha roboh masuk kecuali takut allah hina dunia akhirat azab berat
2:115,milik allah timur barat mana hadap sana wajah allah sungguh allah mahaluas maha
2:116,allah mahasuci allah langit bumi tunduk
2:117,allah cipta langit bumi tetap
2:118,allah bicara ucap hati sungguh kuasa
2:119,sungguh utus muhammad benar bawa berita gembira beri ingat engkau pertanggungjawaban neraka
2:120,yahudi nasrani rela kepada muhammad engkau ikut agama sungguh tunjuk allah tunjuk engkau ikut ilmu benar kepada bagi lindung tolong allah
2:121,kitab baca mesti iman barangsiapa ingkar rugi
2:122,bani israil ingat kepada lebih umat alam
2:123,takut ganti bela orang tebus terima bantu guna bagi tolong
2:124,ingat ibrahim uji tuhan kalimat laksana sempurna allah firman sungguh jadi engkau pimpin ibrahim anak cucu allah firman laku zalim
2:125,ingat jadi rumah ka bah kumpul aman manusia jadi maqam ibrahim salat perintah ibrahim ismail sih tawaf orang iktikaf orang rukuk orang sujud
2:126,ingat ibrahim doa ya tuhan jadi negeri mekah negeri aman ilah rezeki duduk iman allah allah firman orang kafir senang paksa azab neraka
2:127,ingat ibrahim tinggi pondasi baitullah ismail seraya doa ya tuhan terima amal sungguh engkau maha dengar maha
2:128,ya tuhan jadi orang serah anak cucu umat serah tunjuk ibadah haji terima tobat sungguh engkau maha terima tobat maha sayang
2:129,ya tuhan utus rasul kalang baca ajar kitab hikmah suci sungguh engkau mahaperkasa mahabijaksana
2:130,orang benci agama ibrahim orang bodoh sungguh pilih ibrahim dunia sungguh akhirat saleh
2:131,ingat tuhan firman ibrahim berserahdirilah serah tuhan alam
2:132,ibrahim wasiat ucap yakub sungguh allah pilih agama untuk mati kecuali muslim
2:133,saksi maut jemput yakub sembah tinggal sembah tuhan tuhan nenek moyang ibrahim ismail ishak tuhan maha esa serah
2:134,umat bagi usaha bagi usaha pertanggungjawaban kerja
2:135,anut yahudi nasrani niscaya ikut agama ibrahim lurus golong orang sekutu tuhan
2:136,iman allah turun turun ibrahim ismail ishak yakub anak cucu musa isa tuhan serah
2:137,iman imani sungguh tunjuk paling sungguh musuh dengan allah cukup engkau muhammad maha dengar maha
2:138,sibgah allah sembah
2:139,muhammad debat allah tuhan tuhan amal amal tulus abdi
2:140,yahudi nasrani ibrahim ismail ishak yakub anak cucu anut yahudi nasrani kamu allah zalim orang sembunyi saksi allah allah lengah kerja
2:141,umat bagi usaha bagi usaha pertanggungjawaban kerja
2:142,akal manusia maling muslim kiblat kiblat muhammad milik timur barat tunjuk hendak jalan lurus
2:143,jadi umat islam umat tengah saksi buat manusia rasul muhammad saksi buat jadi kiblat kiblat ikut rasul balik sungguh pindah kiblat berat kecuali orang tunjuk allah allah iman sungguh allah maha asih maha sayang manusia
2:144,wajah muhammad tengadah langit paling engkau kiblat engkau senang hadap wajah arah masjidilharam engkau hadap wajah arah sungguh kitab taurat injil pindah kiblat benar tuhan allah lengah kerja
2:145,engkau muhammad ayat terang kitab ikut kiblat engkau ikut kiblat ikut kiblat engkau ikut ilmu kepada niscaya zalim
2:146,kitab taurat injil kenal muhammad kenal sungguh sembunyi benar nya
2:147,benar tuhan engkau muhammad ragu
2:148,umat kiblat hadap baik allah kumpul sungguh allah mahakuasa
2:149,mana engkau muhammad hadap wajah arah masjidilharam sungguh tentu tuhan allah lengah kerja
2:150,mana engkau muhammad hadap wajah arah masjidilharam hadap wajah arah alas manusia tentang kecuali zalim takut takut sempurna kepada tunjuk
2:151,utus kepada rasul muhammad kalang baca suci ajar kepada kitab hikmah sunnah ajar tahu
2:152,ingat kepada syukur ingkar
2:153,iman mohon tolong allah sabar salat sungguh allah serta sabar
2:154,bunuh jalan allah mati hidup sadar
2:155,uji takut lapar kurang harta jiwa sampai kabar gembira sabar
2:156,timpa musibah inna lillahi wa inna ilaihi raji un sungguh milik allah
2:157,oleh ampun rahmat tuhan tunjuk
2:158,sungguh safa marwah syi ar agama allah barangsiapa ibadah haji baitullah umrah dosa bagi sa i barangsiapa rela hati kebaji allah maha syukur maha
2:159,sungguh sembunyi turun tunjuk manusia kitab laknat allah laknat laknat
2:160,kecuali tobat ada baik nya terima tobat maha terima tobat maha sayang
2:161,sungguh kafir mati kafir laknat allah malaikat manusia
2:162,kekal dalam laknat ringan azab tangguh
2:163,tuhan tuhan maha esa tuhan maha asih maha sayang
2:164,sungguh cipta langit bumi ganti malam siang kapal layar laut muat manfaat manusia turun allah langit air bumi mati kering tebar dalam binatang kisar angin awan kendali langit bumi sungguh besar allah erti
2:165,manusia orang sembah tuhan allah tanding cinta cinta allah iman cinta allah buat zalim azab kiamat kuat milik allah allah berat niscaya sesal
2:166,ikut lepas tangan ikut azab hubung putus
2:167,ikut sempat dunia lepas tangan lepas tangan allah amal sesal api neraka
2:168,manusia makan makan halal bumi ikut setan sungguh setan musuh nyata bagi
2:169,sungguh setan suruh buat jahat keji tahu allah
2:170,ikut turun ikut dapat nenek moyang laku nenek moyang tunjuk
2:171,umpama seru orang kafir gembala riak binatang dengar panggil ria tuli bisu buta erti
2:172,iman makan rezeki syukur allah sembah
2:173,sungguh haram atas bangkai darah daging babi daging hewan sembelih sebut nama allah barangsiapa paksa makan ingin lampau batas dosa bagi sungguh allah maha kam maha sayang
2:174,sungguh sembunyi turun allah kitab jual harga murah tel api neraka perut allah sapa kiamat suci azab pedih
2:175,beli sesat tunjuk azab ampun alangkah berani tentang api neraka
2:176,allah turun kitab bawa benar sungguh selisih paham benar kitab pecah
2:177,kebaji hadap wajah arah timur barat kebaji kebaji orang iman allah harta cinta kerabat anak yatim miskin jalan musafir merdeka hamba sahaya laksana salat tunai zakat tepat janji janji orang sabar melarat derita peperangan takwa
2:178,iman wajib laksana qisas orang bunuh orang merdeka orang merdeka hamba sahaya hamba sahaya perempuan perempuan barangsiapa oleh maaf saudara ikut bayar diat tebus ringan rahmat tuhan barangsiapa lampau batas azab pedih
2:179,qisas jamin hidup bagi akal takwa
2:180,wajib maut jemput tinggal harta wasiat orang tua karib kerabat wajib takwa
2:181,barangsiapa ubah wasiat dengar sungguh dosa orang ubah sungguh allah maha dengar maha
2:182,barangsiapa khawatir beri wasiat laku berat belah buat salah damai dosa sungguh allah maha kam maha sayang
2:183,iman wajib puasa wajib orang takwa
2:184,barangsiapa sakit jalan puasa wajib ganti puasa orang berat jalan wajib bayar fidyah makan miskin barangsiapa rela hati kebaji bagi puasa bagi
2:185,ramadan dalam turun tunjuk manusia tunjuk beda batil barangsiapa puasa barangsiapa sakit jalan puasa wajib ganti tinggal allah mudah bagi sukar bagi cukup bilang agung allah kepada syukur
2:186,kepada muhammad sungguh kabul mohon orang doa doa penuh perintah iman oleh benar
2:187,halal bagi malam puasa campur istri pakai bagi pakai allah tahan diri terima tobat maaf campur cari tetap allah bagi makan minum bagi beda benang putih benang hitam fajar sempurna puasa malam campur iktikaf masjid tentu allah dekat allah terang manusia takwa
2:188,makan harta jalan batil suap harta hakim maksud makan harta orang jalan dosa
2:189,kepada muhammad sabit tunjuk manusia ibadah kebaji pasuk rumah atas kebaji kebaji orang takwa masuk takwa allah untung
2:190,perang jalan allah rang lampau batas sungguh allah suka lampau batas
2:191,bunuh temu usir usir fitnah kejam bunuh rang masjidilharam kecuali rang rang perang balas orang kafir
2:192,henti sungguh allah maha kam maha sayang
2:193,perang fitnah agama allah henti musuh kecuali zalim
2:194,haram haram hormat laku hukum qisas barangsiapa serang serang timpal serang takwa allah tahu allah serta takwa
2:195,infak harta jalan allah jatuh binasa tangan berbuatbaiklah sungguh allah suka buat
2:196,sempurna ibadah haji umrah allah kepung musuh sembelih hadyu mudah cukur kepala hadyu sembelih sakit ganggu kepala cukur wajib fidyah puasa sedekah kurban aman barangsiapa umrah haji wajib sembelih hadyu mudah dapat wajib puasa musim haji tujuh puluh orang keluarga tinggal masjidilharam takwa allah tahu allah keras
2:197,musim haji maklum barangsiapa ibadah haji jorok rafats buat maksiat tengkar ibadah haji kerja allah tahu bawa bekal sungguh bekal takwa takwa akal sehat
2:198,dosa bagi cari karunia tuhan tolak arafah zikir allah masy arilharam zikir tunjuk kepada orang
2:199,tolak orang tolak arafah mohon ampun allah sungguh allah maha kam maha sayang
2:200,selesai ibadah haji zikir allah nenek moyang zikir manusia doa ya tuhan ilah baik dunia akhirat oleh
2:201,doa ya tuhan ilah baik dunia baik akhirat lindung azab neraka
2:202,oleh kerja allah mahacepat
2:203,zikir allah tentu barangsiapa cepat tinggal mina dosa bagi barangsiapa akhir dosa bagi orang takwa takwa allah tahu
2:204,manusia bicara hidup dunia kagum engkau muhammad saksi allah isi hati tentang keras
2:205,paling engkau usaha buat rusa bumi rusak ternak allah suka rusa
2:206,takwa allah bangkit sombong buat dosa pantas bagi neraka jahanam sungguh jahanam tinggal buruk
2:207,manusia orang korban cari rida allah allah maha santun
2:208,iman masuk islam ikut setan sungguh musuh nyata bagi
2:209,gelincir nyata kepada tahu allah mahabijaksana
2:210,kecuali datang azab allah malaikat naung awan perkara putus perkara kembali
2:211,tanya bani israil bukti nyata barangsiapa tukar nikmat allah nikmat sungguh allah keras
2:212,hidup dunia jadi indah pandang kafir hina iman takwa kiamat allah rezeki orang hendak hitung
2:213,manusia dahulu umat allah utus nabi kabar gembira ingat kitab kandung benar putus manusia perkara selisih selisih kitab nyata dengki allah tunjuk iman benar selisih allah tunjuk hendak jalan lurus
2:214,masuk surga kepada coba alami timpa melarat derita guncang coba rasul iman sama tolong allah ingat sungguh tolong allah
2:215,kepada muhammad infak harta infak untuk orang tua kerabat anak yatim orang miskin orang baik kerja sungguh allah maha
2:216,wajib perang senang bagi nang bagi suka bagi allah
2:217,kepada muhammad perang haram perang dosa halang orang jalan allah ingkar halang orang masuk masjidilharam usir duduk dosa pandang allah fitnah kejam bunuh henti rang murtad agama sanggup barangsiapa murtad agama mati kafir amal dunia akhirat huni neraka kekal dalam
2:218,sungguh iman hijrah jihad jalan allah harap rahmat allah allah maha kam maha sayang
2:219,kepada muhammad khamar judi dosa manfaat manusia dosa kepada infak lebih allah terang kepada pikir
2:220,dunia akhirat kepada muhammad yatim baik gaul allah orang buat rusa buat baik allah niscaya datang sulit kepada sungguh allah mahaperkasa mahabijaksana
2:221,nikah perempuan musyrik iman sungguh hamba sahaya perempuan iman perempuan musyrik tarik hati nikah orang musyrik perempuan iman iman sungguh hamba sahaya iman musyrik tarik hati ajak neraka allah ajak surga ampun allah terang manusia ambil ajar
2:222,kepada muhammad haid jauh istri haid dekat suci suci campur sesuai tentu perintah allah kepada sungguh allah suka orang tobat suka orang suci
2:223,ladang bagi datang ladang suka utama diri takwa allah tahu kelak sampai kabar gembira orang iman
2:224,jadi nama allah sumpah halang buat kebaji takwa cipta damai manusia allah maha dengar maha
2:225,allah hukum sumpah sengaja hukum niat kandung hati allah maha kam maha santun
2:226,orang istri tunggu istri sungguh allah maha kam maha sayang
2:227,tetap hati cerai sungguh allah maha dengar maha
2:228,istri cerai wajib tahan tunggu kali quru sembunyi cipta allah rahim iman allah suami hak baik perempuan hak imbang wajib patut suami lebih allah mahaperkasa mahabijaksana
2:229,talak rujuk kali suami tahan lepas halal ambil kecuali suami istri khawatir jalan allah wali khawatir jalan allah dosa bayar istri tebus allah langgar barangsiapa langgar allah zalim
2:230,cerai talak perempuan halal bagi meni suami suami cerai dosa suami bekas istri meni dapat jalan allah allah tahu
2:231,cerai idah tahan cerai tahan maksud jahat zalim barangsiapa zalim jadi allah bahan ejek ingat nikmat allah turun allah kitab hikmah sunnah ajar kepada takwa allah tahu allah maha
2:232,cerai idah halang meni calon suami jalin cocok nasihat iman allah suci bagi bersih allah
2:233,susu penuh susu sempurna wajib ayah tanggung nafkah pakai patut beban sanggup derita anak ayah derita anak ahli waris wajib sapih tuju musyawarat dosa susu anak orang dosa bagi bayar patut takwa allah tahu allah maha kerja
2:234,mati tinggal tunggu puluh idah dosa bagi laku patut allah maha kerja
2:235,dosa bagi pinang sindir sembunyi ingin hati allah janji meni rahasia kecuali dar tetap akad nikah habis idah tahu allah hati takut tahu allah maha kam maha santun
2:236,dosa bagi cerai sentuh campur tentu mahar mut ah mampu sanggup beri patut wajib buat baik
2:237,cerai sentuh campur tentu mahar bayar dua tentu kecuali bebas bebas orang akad nikah tangan bebas takwa lupa baik sungguh allah maha kerja
2:238,pelihara salat salat wustha laksana salat allah khusyuk
2:239,takut bahaya salat jalan kaki kendara aman ingat allah salat ajar kepada tahu
2:240,mati tinggal wasiat nafkah tahun keluar rumah dosa bagi laku allah mahaperkasa mahabijaksana
2:241,cerai mut ah patut wajib orang takwa
2:242,allah terang kepada erti
2:243,perhati kampung halaman ribu takut mati allah firman mati allah hidup sungguh allah karunia manusia banyak manusia syukur
2:244,rang jalan allah tahu allah maha dengar maha
2:245,barangsiapa pinjam allah pinjam allah melipatgandakan ganti allah tahan lapang rezeki kembali
2:246,perhati muka bani israil musa wafat nabi angkat raja niscaya perang jalan nabi wajib atas perang perang perang jalan allah usir kampung halaman pisah perang wajib paling kecuali allah maha zalim
2:247,nabi sungguh allah angkat talut talut oleh raja hak raja daripada kaya nabi allah pilih raja lebih ilmu allah hendak allah mahaluas maha
2:248,nabi sungguh tanda raja datang tabut kepada dalam tenang tuhan sisa tinggal keluarga musa keluarga harun bawa malaikat sungguh tanda besar allah bagi orang iman
2:249,talut bawa bala tentara allah uji sungai barangsiapa minum air ikut barangsiapa minum ikut kecuali ciduk ciduk minum kecuali talut iman sama rang sungai kuat lawan jalut bala temu allah betapa kelompok kalah kelompok izin allah serta sabar
2:250,maju lawan jalut tentara doa ya tuhan limpah sabar kukuh langkah tolong hadap kafir
2:251,kalah izin allah dawud bunuh jalut allah beri dawud raja hikmah ajar hendak allah lindung manusia niscaya rusak bumi allah karunia alam
2:252,allah baca kepada engkau muhammad rasul
2:253,lebih langsung allah firman dengan derajat isa putra maryam mukjizat kuat rohulkudus allah niscaya selisih iman kafir allah allah buat
2:254,iman infak rezeki kepada jual beli sahabat syafaat kafir orang zalim
2:255,allah tuhan mahahidup terus urus antuk tidur langit bumi syafaat hadap hendak liput langit bumi berat pelihara mahatinggi mahabesar
2:256,paksa anut agama islam sungguh beda jalan jalan sesat barang ingkar tagut iman allah sungguh pegang teguh tali kuat putus allah maha dengar maha
2:257,allah lindung orang iman keluar gelap cahaya iman kafir setan keluar cahaya gelap huni neraka kekal dalam
2:258,perhati orang debat ibrahim tuhan allah beri raja kuasa ibrahim tuhan hidup mati hidup ibrahim allah terbit matahari timur terbit bingung orang kafir allah tunjuk zalim
2:259,orang lewat negeri roboh tutup runtuh allah hidup negeri hancur allah mati orang ratus bangkit hidup allah engkau tinggal orang tinggal hari allah firman engkau tinggal ratus lihat makan minum ubah lihat keledai tulang belulang jadi engkau tanda kuasa manusia lihat tulang belulang keledai susun balut nyata bagi allah mahakuasa
2:260,ingat ibrahim ya tuhan lihat kepada engkau hidup orang allah firman percaya engkau ibrahim percaya hati tenang mantap allah firman ambil ekor burung cincang oleh letak bukit panggil niscaya kepada tahu allah mahaperkasa mahabijaksana
2:261,umpama orang infak harta jalan allah butir biji tumbuh tujuh tangkai tangkai ratus biji allah melipatgandakan hendak allah mahaluas maha
2:262,orang infak harta jalan allah iring infak sakit asa terima oleh pahala sisi tuhan takut sedih hati
2:263,kata beri maaf sedekah iring tindak sakit allah mahakaya maha santun
2:264,iman rusak sedekah sakit asa terima orang infak harta ria pamer manusia iman allah umpama orang batu licin atas debu batu timpa hujan lebat tinggal batu licin oleh kerja allah tunjuk kafir
2:265,umpama orang infak harta cari rida allah teguh jiwa kebun letak datar siram hujan lebat kebun hasil kali lipat hujan lebat siram embun pada allah maha kerja
2:266,ada salah milik kebun kurma anggur alir bawah milik datang tua milik turun kebun tiup angin keras kandung api bakar allah terang kepada pikir
2:267,iman infak hasil usaha keluar bumi untuk pilih buruk keluar ambil picing mata enggan tahu allah mahakaya maha puji
2:268,setan janji miskin kepada suruh buat keji kikir allah janji ampun kepada allah mahaluas maha
2:269,hikmah hendak barangsiapa hikmah sungguh baik ambil ajar kecuali akal sehat
2:270,infak nazar janji sungguh allah tahu orang zalim tolong
2:271,tampak sembunyi beri fakir bagi allah hapus allah mahateliti kerja
2:272,wajib muhammad jadi tunjuk tunjuk hendak harta infak baik diri infak cari rida allah harta infak niscaya pahala penuh zalim rugi
2:273,infak fakir halang usaha jihad jalan allah usaha bumi orang sangka kaya jaga engkau muhammad kenal paksa orang harta infak sungguh allah maha
2:274,infak harta malam siang pahala sisi tuhan takut sedih hati
2:275,makan riba diri diri orang masuk setan gila jual beli riba allah halal jual beli haram riba barangsiapa ingat tuhan henti oleh milik urus serah allah barangsiapa ulang huni neraka kekal dalam
2:276,allah musnah riba subur sedekah allah suka orang kafir gelimang dosa
2:277,sungguh iman kebaji laksana salat tunai zakat pahala sisi tuhan takut sedih hati
2:278,iman takwa allah tinggal sisa riba pungut orang iman
2:279,laksana umum perang allah tobat hak pokok harta buat zalim rugi zalim rugi
2:280,orang utang sulit ilah tenggang oleh lapang sedekah bagi
2:281,takut kembali allah orang balas sempurna sesuai laku zalim rugi
2:282,iman utang piutang tentu tulis tulis tulis tulis tolak tulis allah ajar tulis orang utang dikte takwa allah tuhan kurang daripada utang orang akal lemah ada dikte wali dikte saksi orang saksi saksi orang orang perempuan suka saksi lupa ingat tolak panggil bosan tulis batas utang adil sisi allah kuat saksi dekat ketidakraguan kecuali dagang tunai jalan dosa tulis ambil saksi jual beli tulis sulit saksi laku sungguh fasik takwa allah allah ajar kepada allah maha
2:283,jalan tulis barang jamin pegang percaya percaya tunai amanat utang takwa allah tuhan sembunyi saksi barangsiapa sembunyi sungguh hati kotor dosa allah maha kerja
2:284,milik langit bumi nyata hati sembunyi niscaya allah hitung buat bagi ampun hendak azab hendak allah mahakuasa
2:285,rasul muhammad iman turun tuhan iman iman allah dengar taat ampun ya tuhan
2:286,allah beban sesuai sanggup pahala kebaji kerja siksa jahat doa ya tuhan engkau hukum lupa salah ya tuhan engkau beban beban berat engkau beban ya tuhan engkau pikul sanggup pikul maaf ampun rahmat engkau lindung tolong hadap kafir
3:1,alif lam mim
3:2,allah tuhan mahahidup urus
3:3,turun kitab kepada muhammad kandung benar benar turun taurat injil
3:4,tunjuk manusia turun sungguh ingkar allah oleh azab berat allah mahaperkasa hukum
3:5,allah sembunyi bumi langit
3:6,bentuk rahim hendak tuhan mahaperkasa mahabijaksana
3:7,turun kitab kepada muhammad muhkamat kitab mutasyabihat hati condong sesat ikut mutasyabihat fitnah takwil takwil kecuali allah ilmu dalam iman sisi tuhan ambil ajar kecuali orang akal
3:8,doa ya tuhan engkau condong hati sesat engkau tunjuk karunia rahmat sungguh engkau maha beri
3:9,ya tuhan engkau kumpul manusia ragu sungguh allah salah janji
3:10,sungguh kafir guna harta benda azab allah bahan bakar api neraka
3:11,ikut fir aun dusta allah siksa sebab allah berat
3:12,muhammad kafir kalah giring neraka jahanam tinggal
3:13,sungguh tanda golong golong perang jalan allah golong kafir mata kepala golong muslim kali lipat allah kuat hendak sungguh ajar lihat mata hati
3:14,jadi indah pandang manusia cinta harta benda tumpuk bentuk emas perak kuda pilih hewan ternak sawah ladang senang hidup dunia sisi
3:15,mau kabar kepada takwa sedia sisi tuhan alir bawah kekal dalam suci rida allah allah maha
3:16,doa ya tuhan iman ampun lindung azab neraka
